industry_classification_c,dnb_industry
Electrical Manufacturing,Manufacturing
Textiles,Wholesale Trade
Medical Devices,Manufacturing
Business Supplies,Manufacturing
Chemicals,Manufacturing
Beauty & Personal Care,Retail Trade
Oil & Energy,Manufacturing
Design,Retail Trade
Consumer Electronics,Manufacturing
"Agriculture, Forestry, Fishing, & Livestock","Agriculture, Forestry, Fishing and Hunting"
Food & Beverage,Accommodation and Food Services
Retail,Retail Trade
Automotive,Manufacturing
Wholesale,Wholesale Trade
Pharmaceuticals,Manufacturing
Marketing & Advertising,"Professional, Scientific, and Technical Services"
Pet Products,Retail Trade
"Health, Wellness, Fitness",Accommodation and Food Services
Manufacturing & Parts,Manufacturing
Telecommunications,"Professional, Scientific, and Technical Services"
Consumer Goods,Retail Trade
Computer Hardware,Manufacturing
Machinery,Manufacturing
Freight & Logistics,Transportation and Warehousing
Sporting Goods,Retail Trade
Media & Entertainment,"Professional, Scientific, and Technical Services"
Professional Services,"Professional, Scientific, and Technical Services"
Packaging & Containers,Manufacturing
Building & Construction,Construction
Furniture,Retail Trade
Raw Materials,Wholesale Trade
Other,Other Services (except Public Administration)
Internet,"Professional, Scientific, and Technical Services"
Luxury Goods,Retail Trade
Apparel & Fashion Goods,Retail Trade
